JIS X 0208 由来の Unicode 文字全部


Unicode® Standard Annex #11
East Asian Width
http://www.unicode.org/reports/tr11/


属性		意味
--------------------------------
F   Fullwidth	常に全角 (2 幅)
H   Halfwidth	常に半角 (1 幅)
W   Wide	全角で表示される
Na  Narrow	半角で表示される
A   Ambiguous	環境依存
N   Neutral	幅の概念がない


JIS UNICODE 属{字}
------------------
3448 U+7AFF W {竿}
3449 U+7BA1 W {管}
344A U+7C21 W {簡}
344B U+7DE9 W {緩}
344C U+7F36 W {缶}
344D U+7FF0 W {翰}
344E U+809D W {肝}
344F U+8266 W {艦}
3450 U+839E W {莞}
3451 U+89B3 W {観}
3452 U+8ACC W {諌}
3453 U+8CAB W {貫}
3454 U+9084 W {還}
3455 U+9451 W {鑑}
3456 U+9593 W {間}
3457 U+9591 W {閑}
3458 U+95A2 W {関}
3459 U+9665 W {陥}
345A U+97D3 W {韓}
345B U+9928 W {館}
345C U+8218 W {舘}
345D U+4E38 W {丸}
345E U+542B W {含}
345F U+5CB8 W {岸}
3460 U+5DCC W {巌}
3461 U+73A9 W {玩}
3462 U+764C W {癌}
3463 U+773C W {眼}
3464 U+5CA9 W {岩}
3465 U+7FEB W {翫}
3466 U+8D0B W {贋}
3467 U+96C1 W {雁}
3468 U+9854 W {顔}
3469 U+9858 W {願}
346A U+4F01 W {企}
346B U+4F0E W {伎}
346C U+5371 W {危}
346D U+559C W {喜}
346E U+5668 W {器}
3470 U+57FA W {基}
3471 U+5947 W {奇}
3472 U+5B09 W {嬉}
3473 U+5BC4 W {寄}
3474 U+5C90 W {岐}
3475 U+5E0C W {希}
3476 U+5E7E W {幾}
3477 U+5FCC W {忌}
3478 U+63EE W {揮}
3479 U+673A W {机}
347A U+65D7 W {旗}
347B U+65E2 W {既}
347C U+671F W {期}
347D U+68CB W {棋}
347E U+68C4 W {棄}
3521 U+6A5F W {機}
3522 U+5E30 W {帰}
3523 U+6C17 W {気}
3524 U+6C7D W {汽}
3525 U+757F W {畿}
3526 U+7948 W {祈}
3527 U+5B63 W {季}
3528 U+7A00 W {稀}
3529 U+7D00 W {紀}
352A U+5FBD W {徽}
352B U+898F W {規}
352C U+8A18 W {記}
352D U+8CB4 W {貴}
352E U+8D77 W {起}
3530 U+8ECC W {軌}
3531 U+8F1D W {輝}
3532 U+98E2 W {飢}
3533 U+9A0E W {騎}
3534 U+9B3C W {鬼}
3535 U+4E80 W {亀}
3536 U+507D W {偽}
3537 U+5100 W {儀}
3538 U+5993 W {妓}
3539 U+5B9C W {宜}
353A U+622F W {戯}
353B U+6280 W {技}
353C U+64EC W {擬}
353D U+6B3A W {欺}
353E U+72A0 W {犠}
353F U+7591 W {疑}
3540 U+7947 W {祇}
3541 U+7FA9 W {義}
3542 U+87FB W {蟻}
3543 U+8ABC W {誼}
3544 U+8B70 W {議}
3545 U+63AC W {掬}
3546 U+83CA W {菊}
3547 U+97A0 W {鞠}
3548 U+5409 W {吉}
3549 U+5403 W {吃}
354A U+55AB W {喫}
354B U+6854 W {桔}
354C U+6A58 W {橘}
354D U+8A70 W {詰}
354E U+7827 W {砧}
354F U+6775 W {杵}
3550 U+9ECD W {黍}
3551 U+5374 W {却}
3552 U+5BA2 W {客}
3553 U+811A W {脚}
3554 U+8650 W {虐}
3555 U+9006 W {逆}
3556 U+4E18 W {丘}
3557 U+4E45 W {久}
3558 U+4EC7 W {仇}
3559 U+4F11 W {休}
355A U+53CA W {及}
355B U+5438 W {吸}
355C U+5BAE W {宮}
355D U+5F13 W {弓}
355E U+6025 W {急}
355F U+6551 W {救}
3560 U+673D W {朽}
3561 U+6C42 W {求}
3562 U+6C72 W {汲}
3563 U+6CE3 W {泣}
3564 U+7078 W {灸}
3565 U+7403 W {球}
3566 U+7A76 W {究}
3567 U+7AAE W {窮}
3568 U+7B08 W {笈}
3569 U+7D1A W {級}
356A U+7CFE W {糾}
356B U+7D66 W {給}
356C U+65E7 W {旧}
356D U+725B W {牛}
356E U+53BB W {去}
356F U+5C45 W {居}
3570 U+5DE8 W {巨}
3571 U+62D2 W {拒}
3572 U+62E0 W {拠}
3573 U+6319 W {挙}
3574 U+6E20 W {渠}
3575 U+865A W {虚}
3576 U+8A31 W {許}
3577 U+8DDD W {距}
3578 U+92F8 W {鋸}
3579 U+6F01 W {漁}
357A U+79A6 W {禦}
357B U+9B5A W {魚}
357C U+4EA8 W {亨}
357D U+4EAB W {享}
357E U+4EAC W {京}
3621 U+4F9B W {供}
3622 U+4FA0 W {侠}
3623 U+50D1 W {僑}
3624 U+5147 W {兇}
3625 U+7AF6 W {競}
3626 U+5171 W {共}
3627 U+51F6 W {凶}
3628 U+5354 W {協}
3629 U+5321 W {匡}
362A U+537F W {卿}
362B U+53EB W {叫}
362C U+55AC W {喬}
362D U+5883 W {境}
362E U+5CE1 W {峡}
362F U+5F37 W {強}
3630 U+5F4A W {彊}
3631 U+602F W {怯}
3632 U+6050 W {恐}
3633 U+606D W {恭}
3634 U+631F W {挟}
3635 U+6559 W {教}
3636 U+6A4B W {橋}
3637 U+6CC1 W {況}
3638 U+72C2 W {狂}
3639 U+72ED W {狭}
363A U+77EF W {矯}
363B U+80F8 W {胸}
363C U+8105 W {脅}
363D U+8208 W {興}
363E U+854E W {蕎}
363F U+90F7 W {郷}
3640 U+93E1 W {鏡}
3641 U+97FF W {響}
3642 U+9957 W {饗}
3643 U+9A5A W {驚}
3644 U+4EF0 W {仰}
3645 U+51DD W {凝}
3646 U+5C2D W {尭}
3647 U+6681 W {暁}
3648 U+696D W {業}
3649 U+5C40 W {局}
364A U+66F2 W {曲}
364B U+6975 W {極}
364C U+7389 W {玉}
364D U+6850 W {桐}
364E U+7C81 W {粁}
364F U+50C5 W {僅}
3650 U+52E4 W {勤}
3651 U+5747 W {均}
3652 U+5DFE W {巾}
3653 U+9326 W {錦}
3654 U+65A4 W {斤}
3655 U+6B23 W {欣}
3656 U+6B3D W {欽}
3657 U+7434 W {琴}
3658 U+7981 W {禁}
3659 U+79BD W {禽}
365A U+7B4B W {筋}
365B U+7DCA W {緊}
365C U+82B9 W {芹}
365D U+83CC W {菌}
365E U+887F W {衿}
365F U+895F W {襟}
3660 U+8B39 W {謹}
3661 U+8FD1 W {近}
3662 U+91D1 W {金}
3663 U+541F W {吟}
3664 U+9280 W {銀}
3665 U+4E5D W {九}
3666 U+5036 W {倶}
3667 U+53E5 W {句}
3668 U+533A W {区}
3669 U+72D7 W {狗}
366A U+7396 W {玖}
366B U+77E9 W {矩}
366C U+82E6 W {苦}
366D U+8EAF W {躯}
366E U+99C6 W {駆}
366F U+99C8 W {駈}
3670 U+99D2 W {駒}
3671 U+5177 W {具}
3672 U+611A W {愚}
3673 U+865E W {虞}
3674 U+55B0 W {喰}
3675 U+7A7A W {空}
3676 U+5076 W {偶}
3677 U+5BD3 W {寓}
3678 U+9047 W {遇}
3679 U+9685 W {隅}
367A U+4E32 W {串}
367B U+6ADB W {櫛}
367C U+91E7 W {釧}
367D U+5C51 W {屑}
367E U+5C48 W {屈}
3721 U+6398 W {掘}
3722 U+7A9F W {窟}
3723 U+6C93 W {沓}
3724 U+9774 W {靴}
3725 U+8F61 W {轡}
3726 U+7AAA W {窪}
3727 U+718A W {熊}
3728 U+9688 W {隈}
3729 U+7C82 W {粂}
372A U+6817 W {栗}
372B U+7E70 W {繰}
372C U+6851 W {桑}
372D U+936C W {鍬}
372E U+52F2 W {勲}
372F U+541B W {君}
3730 U+85AB W {薫}
3731 U+8A13 W {訓}
3732 U+7FA4 W {群}
3733 U+8ECD W {軍}
3734 U+90E1 W {郡}
3735 U+5366 W {卦}
3736 U+8888 W {袈}
3737 U+7941 W {祁}
3738 U+4FC2 W {係}
3739 U+50BE W {傾}
373A U+5211 W {刑}
373B U+5144 W {兄}
373C U+5553 W {啓}
373D U+572D W {圭}
373E U+73EA W {珪}
373F U+578B W {型}
3740 U+5951 W {契}
3741 U+5F62 W {形}
3742 U+5F84 W {径}
3743 U+6075 W {恵}
3744 U+6176 W {慶}
3745 U+6167 W {慧}
3746 U+61A9 W {憩}
3747 U+63B2 W {掲}
3748 U+643A W {携}
3749 U+656C W {敬}
374A U+666F W {景}
374B U+6842 W {桂}
374C U+6E13 W {渓}
374D U+7566 W {畦}
374E U+7A3D W {稽}
374F U+7CFB W {系}
3750 U+7D4C W {経}
3751 U+7D99 W {継}
3752 U+7E4B W {繋}
3753 U+7F6B W {罫}
3754 U+830E W {茎}
3755 U+834A W {荊}
3756 U+86CD W {蛍}
3757 U+8A08 W {計}
3758 U+8A63 W {詣}
3759 U+8B66 W {警}
375A U+8EFD W {軽}
375B U+981A W {頚}
375C U+9D8F W {鶏}
375D U+82B8 W {芸}
375E U+8FCE W {迎}
375F U+9BE8 W {鯨}
3760 U+5287 W {劇}
3761 U+621F W {戟}
3762 U+6483 W {撃}
3763 U+6FC0 W {激}
3764 U+9699 W {隙}
3765 U+6841 W {桁}
3766 U+5091 W {傑}
3767 U+6B20 W {欠}
3768 U+6C7A W {決}
3769 U+6F54 W {潔}
376A U+7A74 W {穴}
376B U+7D50 W {結}
376C U+8840 W {血}
376D U+8A23 W {訣}
376E U+6708 W {月}
376F U+4EF6 W {件}
3770 U+5039 W {倹}
3771 U+5026 W {倦}
3772 U+5065 W {健}
3773 U+517C W {兼}
3774 U+5238 W {券}
3775 U+5263 W {剣}
3776 U+55A7 W {喧}
3777 U+570F W {圏}
3778 U+5805 W {堅}
3779 U+5ACC W {嫌}
377A U+5EFA W {建}
377B U+61B2 W {憲}
377C U+61F8 W {懸}
377D U+62F3 W {拳}
377E U+6372 W {捲}
3821 U+691C W {検}
3822 U+6A29 W {権}
3823 U+727D W {牽}
3824 U+72AC W {犬}
3825 U+732E W {献}
3826 U+7814 W {研}
3827 U+786F W {硯}
3828 U+7D79 W {絹}
3829 U+770C W {県}
382A U+80A9 W {肩}
382B U+898B W {見}
382C U+8B19 W {謙}
382D U+8CE2 W {賢}
382E U+8ED2 W {軒}
382F U+9063 W {遣}
3830 U+9375 W {鍵}
3831 U+967A W {険}
3832 U+9855 W {顕}
3833 U+9A13 W {験}
3834 U+9E78 W {鹸}
3835 U+5143 W {元}
3836 U+539F W {原}
3837 U+53B3 W {厳}
3838 U+5E7B W {幻}
3839 U+5F26 W {弦}
383A U+6E1B W {減}
383B U+6E90 W {源}
383C U+7384 W {玄}
383D U+73FE W {現}
383E U+7D43 W {絃}
383F U+8237 W {舷}
3840 U+8A00 W {言}
3841 U+8AFA W {諺}
3842 U+9650 W {限}
3843 U+4E4E W {乎}
3844 U+500B W {個}
3845 U+53E4 W {古}
3846 U+547C W {呼}
3847 U+56FA W {固}
3848 U+59D1 W {姑}
3849 U+5B64 W {孤}
384A U+5DF1 W {己}
384B U+5EAB W {庫}
384C U+5F27 W {弧}
384D U+6238 W {戸}
384E U+6545 W {故}
384F U+67AF W {枯}
3850 U+6E56 W {湖}
3851 U+72D0 W {狐}
3852 U+7CCA W {糊}
3853 U+88B4 W {袴}
3854 U+80A1 W {股}
3855 U+80E1 W {胡}
3856 U+83F0 W {菰}
3857 U+864E W {虎}
3858 U+8A87 W {誇}
3859 U+8DE8 W {跨}
385A U+9237 W {鈷}
385B U+96C7 W {雇}
385C U+9867 W {顧}
385D U+9F13 W {鼓}
385E U+4E94 W {五}
385F U+4E92 W {互}
3860 U+4F0D W {伍}
3861 U+5348 W {午}
3862 U+5449 W {呉}
3863 U+543E W {吾}
3864 U+5A2F W {娯}
3865 U+5F8C W {後}
3866 U+5FA1 W {御}
3867 U+609F W {悟}
3868 U+68A7 W {梧}
3869 U+6A8E W {檎}
386A U+745A W {瑚}
386B U+7881 W {碁}
386C U+8A9E W {語}
386D U+8AA4 W {誤}
386E U+8B77 W {護}
386F U+9190 W {醐}
3870 U+4E5E W {乞}
3871 U+9BC9 W {鯉}
3872 U+4EA4 W {交}
3873 U+4F7C W {佼}
3874 U+4FAF W {侯}
3875 U+5019 W {候}
3876 U+5016 W {倖}
3877 U+5149 W {光}
3878 U+516C W {公}
3879 U+529F W {功}
387A U+52B9 W {効}
387B U+52FE W {勾}
387C U+539A W {厚}
387D U+53E3 W {口}
387E U+5411 W {向}
3921 U+540E W {后}
3922 U+5589 W {喉}
3923 U+5751 W {坑}
3924 U+57A2 W {垢}
3925 U+597D W {好}
3926 U+5B54 W {孔}
3927 U+5B5D W {孝}
3928 U+5B8F W {宏}
3929 U+5DE5 W {工}
392A U+5DE7 W {巧}
392B U+5DF7 W {巷}
392C U+5E78 W {幸}
392D U+5E83 W {広}
392E U+5E9A W {庚}
392F U+5EB7 W {康}
3930 U+5F18 W {弘}
3931 U+6052 W {恒}
3932 U+614C W {慌}
3933 U+6297 W {抗}
3934 U+62D8 W {拘}
3935 U+63A7 W {控}
3936 U+653B W {攻}
3937 U+6602 W {昂}
3938 U+6643 W {晃}
3939 U+66F4 W {更}
393A U+676D W {杭}
393B U+6821 W {校}
393C U+6897 W {梗}
393D U+69CB W {構}
393E U+6C5F W {江}
393F U+6D2A W {洪}
3940 U+6D69 W {浩}
3941 U+6E2F W {港}
3942 U+6E9D W {溝}
3943 U+7532 W {甲}
3944 U+7687 W {皇}
3945 U+786C W {硬}
3946 U+7A3F W {稿}
3947 U+7CE0 W {糠}
3948 U+7D05 W {紅}
3949 U+7D18 W {紘}
394A U+7D5E W {絞}
394B U+7DB1 W {綱}
394C U+8015 W {耕}
394D U+8003 W {考}
394E U+80AF W {肯}
394F U+80B1 W {肱}
3950 U+8154 W {腔}
3951 U+818F W {膏}
3952 U+822A W {航}
3953 U+8352 W {荒}
3954 U+884C W {行}
3955 U+8861 W {衡}
3956 U+8B1B W {講}
3957 U+8CA2 W {貢}
3958 U+8CFC W {購}
3959 U+90CA W {郊}
395A U+9175 W {酵}
395B U+9271 W {鉱}
395C U+783F W {砿}
395D U+92FC W {鋼}
395E U+95A4 W {閤}
395F U+964D W {降}
3960 U+9805 W {項}
3961 U+9999 W {香}
3962 U+9AD8 W {高}
3963 U+9D3B W {鴻}
3964 U+525B W {剛}
3965 U+52AB W {劫}
3966 U+53F7 W {号}
3967 U+5408 W {合}
3968 U+58D5 W {壕}
3969 U+62F7 W {拷}
396A U+6FE0 W {濠}
396B U+8C6A W {豪}
396C U+8F5F W {轟}
396D U+9EB9 W {麹}
396E U+514B W {克}
396F U+523B W {刻}
3970 U+544A W {告}
3971 U+56FD W {国}
3972 U+7A40 W {穀}
3973 U+9177 W {酷}
3974 U+9D60 W {鵠}
3975 U+9ED2 W {黒}
3976 U+7344 W {獄}
3977 U+6F09 W {漉}
3978 U+8170 W {腰}
3979 U+7511 W {甑}
397A U+5FFD W {忽}
397B U+60DA W {惚}
397C U+9AA8 W {骨}
397D U+72DB W {狛}
397E U+8FBC W {込}
3A21 U+6B64 W {此}
3A22 U+9803 W {頃}
3A23 U+4ECA W {今}
3A24 U+56F0 W {困}
3A25 U+5764 W {坤}
3A26 U+58BE W {墾}
3A27 U+5A5A W {婚}
3A28 U+6068 W {恨}
3A29 U+61C7 W {懇}
3A2A U+660F W {昏}
3A2B U+6606 W {昆}
3A2C U+6839 W {根}
3A2D U+68B1 W {梱}
3A2E U+6DF7 W {混}
3A2F U+75D5 W {痕}
3A30 U+7D3A W {紺}
3A31 U+826E W {艮}
3A32 U+9B42 W {魂}
3A33 U+4E9B W {些}
3A34 U+4F50 W {佐}
3A35 U+53C9 W {叉}
3A36 U+5506 W {唆}
3A37 U+5D6F W {嵯}
3A38 U+5DE6 W {左}
3A39 U+5DEE W {差}
3A3A U+67FB W {査}
3A3B U+6C99 W {沙}
3A3C U+7473 W {瑳}
3A3D U+7802 W {砂}
3A3E U+8A50 W {詐}
3A3F U+9396 W {鎖}
3A40 U+88DF W {裟}
3A41 U+5750 W {坐}
3A42 U+5EA7 W {座}
3A43 U+632B W {挫}
3A44 U+50B5 W {債}
3A45 U+50AC W {催}
3A46 U+518D W {再}
3A47 U+6700 W {最}
3A48 U+54C9 W {哉}
3A49 U+585E W {塞}
3A4A U+59BB W {妻}
3A4B U+5BB0 W {宰}
3A4C U+5F69 W {彩}
3A4D U+624D W {才}
3A4E U+63A1 W {採}
3A4F U+683D W {栽}
3A50 U+6B73 W {歳}
3A51 U+6E08 W {済}
3A52 U+707D W {災}
3A53 U+91C7 W {采}
3A54 U+7280 W {犀}
3A55 U+7815 W {砕}
3A56 U+7826 W {砦}
3A57 U+796D W {祭}
3A58 U+658E W {斎}
3A59 U+7D30 W {細}
3A5A U+83DC W {菜}
3A5B U+88C1 W {裁}
3A5C U+8F09 W {載}
3A5D U+969B W {際}
3A5E U+5264 W {剤}
3A5F U+5728 W {在}
3A60 U+6750 W {材}
3A61 U+7F6A W {罪}
3A62 U+8CA1 W {財}
3A63 U+51B4 W {冴}
3A64 U+5742 W {坂}
3A65 U+962A W {阪}
3A66 U+583A W {堺}
3A67 U+698A W {榊}
3A68 U+80B4 W {肴}
3A69 U+54B2 W {咲}
3A6A U+5D0E W {崎}
3A6B U+57FC W {埼}
3A6C U+7895 W {碕}
3A6D U+9DFA W {鷺}
3A6E U+4F5C W {作}
3A6F U+524A W {削}
3A70 U+548B W {咋}
3A71 U+643E W {搾}
3A72 U+6628 W {昨}
3A73 U+6714 W {朔}
3A74 U+67F5 W {柵}
3A75 U+7A84 W {窄}
3A76 U+7B56 W {策}
3A77 U+7D22 W {索}
3A78 U+932F W {錯}
3A79 U+685C W {桜}
3A7A U+9BAD W {鮭}
3A7B U+7B39 W {笹}
3A7C U+5319 W {匙}
3A7D U+518A W {冊}
3A7E U+5237 W {刷}
3B21 U+5BDF W {察}
3B22 U+62F6 W {拶}
3B23 U+64AE W {撮}
3B24 U+64E6 W {擦}
3B25 U+672D W {札}
3B26 U+6BBA W {殺}
3B27 U+85A9 W {薩}
3B28 U+96D1 W {雑}
3B29 U+7690 W {皐}
3B2A U+9BD6 W {鯖}
3B2B U+634C W {捌}
3B2C U+9306 W {錆}
3B2D U+9BAB W {鮫}
3B2E U+76BF W {皿}
3B2F U+6652 W {晒}
3B30 U+4E09 W {三}
3B31 U+5098 W {傘}
3B32 U+53C2 W {参}
3B33 U+5C71 W {山}
3B34 U+60E8 W {惨}
3B35 U+6492 W {撒}
3B36 U+6563 W {散}
3B37 U+685F W {桟}
3B38 U+71E6 W {燦}
3B39 U+73CA W {珊}
3B3A U+7523 W {産}
3B3B U+7B97 W {算}
3B3C U+7E82 W {纂}
3B3D U+8695 W {蚕}
3B3E U+8B83 W {讃}
3B3F U+8CDB W {賛}
3B40 U+9178 W {酸}
3B41 U+9910 W {餐}
3B42 U+65AC W {斬}
3B43 U+66AB W {暫}
3B44 U+6B8B W {残}
3B45 U+4ED5 W {仕}
3B46 U+4ED4 W {仔}
3B47 U+4F3A W {伺}
3B48 U+4F7F W {使}
3B49 U+523A W {刺}
3B4A U+53F8 W {司}
3B4B U+53F2 W {史}
3B4C U+55E3 W {嗣}
3B4D U+56DB W {四}
3B4E U+58EB W {士}
3B4F U+59CB W {始}
3B50 U+59C9 W {姉}
3B51 U+59FF W {姿}
3B52 U+5B50 W {子}
3B53 U+5C4D W {屍}
3B54 U+5E02 W {市}
3B55 U+5E2B W {師}
3B56 U+5FD7 W {志}
3B57 U+601D W {思}
3B58 U+6307 W {指}
3B59 U+652F W {支}
3B5A U+5B5C W {孜}
3B5B U+65AF W {斯}
3B5C U+65BD W {施}
3B5D U+65E8 W {旨}
3B5E U+679D W {枝}
3B5F U+6B62 W {止}
3B60 U+6B7B W {死}
3B61 U+6C0F W {氏}
3B62 U+7345 W {獅}
3B63 U+7949 W {祉}
3B64 U+79C1 W {私}
3B65 U+7CF8 W {糸}
3B66 U+7D19 W {紙}
3B67 U+7D2B W {紫}
3B68 U+80A2 W {肢}
3B69 U+8102 W {脂}
3B6A U+81F3 W {至}
3B6B U+8996 W {視}
3B6C U+8A5E W {詞}
3B6D U+8A69 W {詩}
3B6E U+8A66 W {試}
3B6F U+8A8C W {誌}
3B70 U+8AEE W {諮}
3B71 U+8CC7 W {資}
3B72 U+8CDC W {賜}
3B73 U+96CC W {雌}
3B74 U+98FC W {飼}
3B75 U+6B6F W {歯}
3B76 U+4E8B W {事}
3B77 U+4F3C W {似}
3B78 U+4F8D W {侍}
3B79 U+5150 W {児}
3B7A U+5B57 W {字}
3B7B U+5BFA W {寺}
3B7C U+6148 W {慈}
3B7D U+6301 W {持}
3B7E U+6642 W {時}
3C21 U+6B21 W {次}
3C22 U+6ECB W {滋}
3C23 U+6CBB W {治}
3C24 U+723E W {爾}
3C25 U+74BD W {璽}
3C26 U+75D4 W {痔}
3C27 U+78C1 W {磁}
3C28 U+793A W {示}
3C29 U+800C W {而}
3C2A U+8033 W {耳}
3C2B U+81EA W {自}
3C2C U+8494 W {蒔}
3C2D U+8F9E W {辞}
3C2E U+6C50 W {汐}
3C2F U+9E7F W {鹿}
3C30 U+5F0F W {式}
3C31 U+8B58 W {識}
3C32 U+9D2B W {鴫}
3C33 U+7AFA W {竺}
3C34 U+8EF8 W {軸}
3C35 U+5B8D W {宍}
3C36 U+96EB W {雫}
3C37 U+4E03 W {七}
3C38 U+53F1 W {叱}
3C39 U+57F7 W {執}
3C3A U+5931 W {失}
3C3B U+5AC9 W {嫉}
3C3C U+5BA4 W {室}
3C3D U+6089 W {悉}
3C3E U+6E7F W {湿}
3C3F U+6F06 W {漆}
3C40 U+75BE W {疾}
3C41 U+8CEA W {質}
3C42 U+5B9F W {実}
3C43 U+8500 W {蔀}
3C44 U+7BE0 W {篠}
3C45 U+5072 W {偲}
3C46 U+67F4 W {柴}
3C47 U+829D W {芝}
3C48 U+5C61 W {屡}
3C49 U+854A W {蕊}
3C4A U+7E1E W {縞}
3C4B U+820E W {舎}
3C4C U+5199 W {写}
3C4D U+5C04 W {射}
3C4E U+6368 W {捨}
3C4F U+8D66 W {赦}
3C50 U+659C W {斜}
3C51 U+716E W {煮}
3C52 U+793E W {社}
3C53 U+7D17 W {紗}
3C54 U+8005 W {者}
3C55 U+8B1D W {謝}
3C56 U+8ECA W {車}
3C57 U+906E W {遮}
3C58 U+86C7 W {蛇}
3C59 U+90AA W {邪}
3C5A U+501F W {借}
3C5B U+52FA W {勺}
3C5C U+5C3A W {尺}
3C5D U+6753 W {杓}
3C5E U+707C W {灼}
3C5F U+7235 W {爵}
3C60 U+914C W {酌}
3C61 U+91C8 W {釈}
3C62 U+932B W {錫}
3C63 U+82E5 W {若}
3C64 U+5BC2 W {寂}
3C65 U+5F31 W {弱}
3C66 U+60F9 W {惹}
3C67 U+4E3B W {主}
3C68 U+53D6 W {取}
3C69 U+5B88 W {守}
3C6A U+624B W {手}
3C6B U+6731 W {朱}
3C6C U+6B8A W {殊}
3C6D U+72E9 W {狩}
3C6E U+73E0 W {珠}
3C6F U+7A2E W {種}
3C70 U+816B W {腫}
3C71 U+8DA3 W {趣}
3C72 U+9152 W {酒}
3C73 U+9996 W {首}
3C74 U+5112 W {儒}
3C75 U+53D7 W {受}
3C76 U+546A W {呪}
3C77 U+5BFF W {寿}
3C78 U+6388 W {授}
3C79 U+6A39 W {樹}
3C7A U+7DAC W {綬}
3C7B U+9700 W {需}
3C7C U+56DA W {囚}
3C7D U+53CE W {収}
3C7E U+5468 W {周}
3D21 U+5B97 W {宗}
3D22 U+5C31 W {就}
3D23 U+5DDE W {州}
3D24 U+4FEE W {修}
3D25 U+6101 W {愁}
3D26 U+62FE W {拾}
3D27 U+6D32 W {洲}
3D28 U+79C0 W {秀}
3D29 U+79CB W {秋}
3D2A U+7D42 W {終}
3D2B U+7E4D W {繍}
3D2C U+7FD2 W {習}
3D2D U+81ED W {臭}
3D2E U+821F W {舟}
3D2F U+8490 W {蒐}
3D30 U+8846 W {衆}
3D31 U+8972 W {襲}
3D32 U+8B90 W {讐}
3D33 U+8E74 W {蹴}
3D34 U+8F2F W {輯}
3D35 U+9031 W {週}
3D36 U+914B W {酋}
3D37 U+916C W {酬}
3D38 U+96C6 W {集}
3D39 U+919C W {醜}
3D3A U+4EC0 W {什}
3D3B U+4F4F W {住}
3D3C U+5145 W {充}
3D3D U+5341 W {十}
3D3E U+5F93 W {従}
3D3F U+620E W {戎}
3D40 U+67D4 W {柔}
3D41 U+6C41 W {汁}
3D42 U+6E0B W {渋}
3D43 U+7363 W {獣}
3D44 U+7E26 W {縦}
3D45 U+91CD W {重}
3D46 U+9283 W {銃}
3D47 U+53D4 W {叔}
3D48 U+5919 W {夙}
3D49 U+5BBF W {宿}
3D4A U+6DD1 W {淑}
3D4B U+795D W {祝}
3D4C U+7E2E W {縮}
3D4D U+7C9B W {粛}
3D4E U+587E W {塾}
3D4F U+719F W {熟}
3D50 U+51FA W {出}
3D51 U+8853 W {術}
3D52 U+8FF0 W {述}
3D53 U+4FCA W {俊}
3D54 U+5CFB W {峻}
3D55 U+6625 W {春}
3D56 U+77AC W {瞬}
3D57 U+7AE3 W {竣}
3D58 U+821C W {舜}
3D59 U+99FF W {駿}
3D5A U+51C6 W {准}
3D5B U+5FAA W {循}
3D5C U+65EC W {旬}
3D5D U+696F W {楯}
3D5E U+6B89 W {殉}
3D5F U+6DF3 W {淳}
3D60 U+6E96 W {準}
3D61 U+6F64 W {潤}
3D62 U+76FE W {盾}
3D63 U+7D14 W {純}
3D64 U+5DE1 W {巡}
3D65 U+9075 W {遵}
3D66 U+9187 W {醇}
3D67 U+9806 W {順}
3D68 U+51E6 W {処}
3D69 U+521D W {初}
3D6A U+6240 W {所}
3D6B U+6691 W {暑}
3D6C U+66D9 W {曙}
3D6D U+6E1A W {渚}
3D6E U+5EB6 W {庶}
3D6F U+7DD2 W {緒}
3D70 U+7F72 W {署}
3D71 U+66F8 W {書}
3D72 U+85AF W {薯}
3D73 U+85F7 W {藷}
3D74 U+8AF8 W {諸}
3D75 U+52A9 W {助}
3D76 U+53D9 W {叙}
3D77 U+5973 W {女}
3D78 U+5E8F W {序}
3D79 U+5F90 W {徐}
3D7A U+6055 W {恕}
3D7B U+92E4 W {鋤}
3D7C U+9664 W {除}
3D7D U+50B7 W {傷}
3D7E U+511F W {償}
3E21 U+52DD W {勝}
3E22 U+5320 W {匠}
3E23 U+5347 W {升}
3E24 U+53EC W {召}
3E25 U+54E8 W {哨}
3E26 U+5546 W {商}
3E27 U+5531 W {唱}
3E28 U+5617 W {嘗}
3E29 U+5968 W {奨}
3E2A U+59BE W {妾}
3E2B U+5A3C W {娼}
3E2C U+5BB5 W {宵}
3E2D U+5C06 W {将}
3E2E U+5C0F W {小}
3E2F U+5C11 W {少}
3E30 U+5C1A W {尚}
3E31 U+5E84 W {庄}
3E32 U+5E8A W {床}
3E33 U+5EE0 W {廠}
3E34 U+5F70 W {彰}
3E35 U+627F W {承}
3E36 U+6284 W {抄}
3E37 U+62DB W {招}
3E38 U+638C W {掌}
3E39 U+6377 W {捷}
3E3A U+6607 W {昇}
3E3B U+660C W {昌}
3E3C U+662D W {昭}
3E3D U+6676 W {晶}
3E3E U+677E W {松}
3E3F U+68A2 W {梢}
3E40 U+6A1F W {樟}
3E41 U+6A35 W {樵}
3E42 U+6CBC W {沼}
3E43 U+6D88 W {消}
3E44 U+6E09 W {渉}
3E45 U+6E58 W {湘}
3E46 U+713C W {焼}
3E47 U+7126 W {焦}
3E48 U+7167 W {照}
3E49 U+75C7 W {症}
3E4A U+7701 W {省}
3E4B U+785D W {硝}
3E4C U+7901 W {礁}
3E4D U+7965 W {祥}
3E4E U+79F0 W {称}
3E4F U+7AE0 W {章}
3E50 U+7B11 W {笑}
3E51 U+7CA7 W {粧}
3E52 U+7D39 W {紹}
3E53 U+8096 W {肖}
3E54 U+83D6 W {菖}
3E55 U+848B W {蒋}
3E56 U+8549 W {蕉}
3E57 U+885D W {衝}
3E58 U+88F3 W {裳}
