JIS X 0208 由来の Unicode 文字全部


Unicode® Standard Annex #11
East Asian Width
http://www.unicode.org/reports/tr11/


属性		意味
--------------------------------
F   Fullwidth	常に全角 (2 幅)
H   Halfwidth	常に半角 (1 幅)
W   Wide	全角で表示される
Na  Narrow	半角で表示される
A   Ambiguous	環境依存
N   Neutral	幅の概念がない


JIS UNICODE 属{字}
------------------
2379 U+FF59 F {ｙ}
237A U+FF5A F {ｚ}
2421 U+3041 W {ぁ}
2422 U+3042 W {あ}
2423 U+3043 W {ぃ}
2424 U+3044 W {い}
2425 U+3045 W {ぅ}
2426 U+3046 W {う}
2427 U+3047 W {ぇ}
2428 U+3048 W {え}
2429 U+3049 W {ぉ}
242A U+304A W {お}
242B U+304B W {か}
242C U+304C W {が}
242D U+304D W {き}
242E U+304E W {ぎ}
242F U+304F W {く}
2430 U+3050 W {ぐ}
2431 U+3051 W {け}
2432 U+3052 W {げ}
2433 U+3053 W {こ}
2434 U+3054 W {ご}
2435 U+3055 W {さ}
2436 U+3056 W {ざ}
2437 U+3057 W {し}
2438 U+3058 W {じ}
2439 U+3059 W {す}
243A U+305A W {ず}
243B U+305B W {せ}
243C U+305C W {ぜ}
243D U+305D W {そ}
243E U+305E W {ぞ}
243F U+305F W {た}
2440 U+3060 W {だ}
2441 U+3061 W {ち}
2442 U+3062 W {ぢ}
2443 U+3063 W {っ}
2444 U+3064 W {つ}
2445 U+3065 W {づ}
2446 U+3066 W {て}
2447 U+3067 W {で}
2448 U+3068 W {と}
2449 U+3069 W {ど}
244A U+306A W {な}
244B U+306B W {に}
244C U+306C W {ぬ}
244D U+306D W {ね}
244E U+306E W {の}
244F U+306F W {は}
2450 U+3070 W {ば}
2451 U+3071 W {ぱ}
2452 U+3072 W {ひ}
2453 U+3073 W {び}
2454 U+3074 W {ぴ}
2455 U+3075 W {ふ}
2456 U+3076 W {ぶ}
2457 U+3077 W {ぷ}
2458 U+3078 W {へ}
2459 U+3079 W {べ}
245A U+307A W {ぺ}
245B U+307B W {ほ}
245C U+307C W {ぼ}
245D U+307D W {ぽ}
245E U+307E W {ま}
245F U+307F W {み}
2460 U+3080 W {む}
2461 U+3081 W {め}
2462 U+3082 W {も}
2463 U+3083 W {ゃ}
2464 U+3084 W {や}
2465 U+3085 W {ゅ}
2466 U+3086 W {ゆ}
2467 U+3087 W {ょ}
2468 U+3088 W {よ}
2469 U+3089 W {ら}
246A U+308A W {り}
246B U+308B W {る}
246C U+308C W {れ}
246D U+308D W {ろ}
246E U+308E W {ゎ}
246F U+308F W {わ}
2470 U+3090 W {ゐ}
2471 U+3091 W {ゑ}
2472 U+3092 W {を}
2473 U+3093 W {ん}
2521 U+30A1 W {ァ}
2522 U+30A2 W {ア}
2523 U+30A3 W {ィ}
2524 U+30A4 W {イ}
2525 U+30A5 W {ゥ}
2526 U+30A6 W {ウ}
2527 U+30A7 W {ェ}
2528 U+30A8 W {エ}
2529 U+30A9 W {ォ}
252A U+30AA W {オ}
252B U+30AB W {カ}
252C U+30AC W {ガ}
252D U+30AD W {キ}
252E U+30AE W {ギ}
252F U+30AF W {ク}
2530 U+30B0 W {グ}
2531 U+30B1 W {ケ}
2532 U+30B2 W {ゲ}
2533 U+30B3 W {コ}
2534 U+30B4 W {ゴ}
2535 U+30B5 W {サ}
2536 U+30B6 W {ザ}
2537 U+30B7 W {シ}
2538 U+30B8 W {ジ}
2539 U+30B9 W {ス}
253A U+30BA W {ズ}
253B U+30BB W {セ}
253C U+30BC W {ゼ}
253D U+30BD W {ソ}
253E U+30BE W {ゾ}
253F U+30BF W {タ}
2540 U+30C0 W {ダ}
2541 U+30C1 W {チ}
2542 U+30C2 W {ヂ}
2543 U+30C3 W {ッ}
2544 U+30C4 W {ツ}
2545 U+30C5 W {ヅ}
2546 U+30C6 W {テ}
2547 U+30C7 W {デ}
2548 U+30C8 W {ト}
2549 U+30C9 W {ド}
254A U+30CA W {ナ}
254B U+30CB W {ニ}
254C U+30CC W {ヌ}
254D U+30CD W {ネ}
254E U+30CE W {ノ}
254F U+30CF W {ハ}
2550 U+30D0 W {バ}
2551 U+30D1 W {パ}
2552 U+30D2 W {ヒ}
2553 U+30D3 W {ビ}
2554 U+30D4 W {ピ}
2555 U+30D5 W {フ}
2556 U+30D6 W {ブ}
2557 U+30D7 W {プ}
2558 U+30D8 W {ヘ}
2559 U+30D9 W {ベ}
255A U+30DA W {ペ}
255B U+30DB W {ホ}
255C U+30DC W {ボ}
255D U+30DD W {ポ}
255E U+30DE W {マ}
255F U+30DF W {ミ}
2560 U+30E0 W {ム}
2561 U+30E1 W {メ}
2562 U+30E2 W {モ}
2563 U+30E3 W {ャ}
2564 U+30E4 W {ヤ}
2565 U+30E5 W {ュ}
2566 U+30E6 W {ユ}
2567 U+30E7 W {ョ}
2568 U+30E8 W {ヨ}
2569 U+30E9 W {ラ}
256A U+30EA W {リ}
256B U+30EB W {ル}
256C U+30EC W {レ}
256D U+30ED W {ロ}
256E U+30EE W {ヮ}
256F U+30EF W {ワ}
2570 U+30F0 W {ヰ}
2571 U+30F1 W {ヱ}
2572 U+30F2 W {ヲ}
2573 U+30F3 W {ン}
2574 U+30F4 W {ヴ}
2575 U+30F5 W {ヵ}
2576 U+30F6 W {ヶ}
2621 U+0391 A {Α}
2622 U+0392 A {Β}
2623 U+0393 A {Γ}
2624 U+0394 A {Δ}
2625 U+0395 A {Ε}
2626 U+0396 A {Ζ}
2627 U+0397 A {Η}
2628 U+0398 A {Θ}
2629 U+0399 A {Ι}
262A U+039A A {Κ}
262B U+039B A {Λ}
262C U+039C A {Μ}
262D U+039D A {Ν}
262E U+039E A {Ξ}
262F U+039F A {Ο}
2630 U+03A0 A {Π}
2631 U+03A1 A {Ρ}
2632 U+03A3 A {Σ}
2633 U+03A4 A {Τ}
2634 U+03A5 A {Υ}
2635 U+03A6 A {Φ}
2636 U+03A7 A {Χ}
2637 U+03A8 A {Ψ}
2638 U+03A9 A {Ω}
